Country,Year_2016,Continent
Afghanistan,34656032,Asia
Albania,2876101,Europe
Algeria,40606052,Africa
Andorra,77281,Europe
Angola,28813463,Africa
Antigua and Barbuda,100963,North America
Argentina,43847430,South America
Armenia,2924816,Asia
Australia,24127159,Australia
Austria,8747358,Europe
Azerbaijan,9762274,Asia
Bahamas,391232,North America
Bahrain,1425171,Asia
Bangladesh,162951560,Asia
Barbados,284996,North America
Belarus,9507120,Europe
Belgium,11348159,Europe
Benin,10872298,Africa
Bhutan,797765,Asia
Bolivia,10887882,South America
Bosnia and Herzegovina,3516816,Europe
Brazil,207652865,South America
Brunei,423196,Asia
Bulgaria,7127822,Europe
Burkina Faso,18646433,Africa
Cabo Verde,539560,Africa
Cambodia,15762370,Asia
Cameroon,23439189,Africa
Canada,36286425,North America
Central African Republic,4594621,Africa
Chad,14452543,Africa
Chile,17909754,South America
China,1378665000,Asia
Colombia,48653419,South America
Congo (Brazzaville),78736153,Africa
Congo (Kinshasa),5125821,Africa
Costa Rica,4857274,North America
Cote d'Ivoire,23695919,Africa
Croatia,4170600,Europe
Diamond Princess,3711,None
Cuba,11475982,North America
Cyprus,1170125,Asia
Czechia,10561633,Europe
Denmark,5731118,Europe
Djibouti,942333,Africa
Dominican Republic,10648791,North America
Ecuador,16385068,South America
Egypt,95688681,Africa
El Salvador,6344722,North America
Equatorial Guinea,1221490,Africa
Eritrea,,Africa
Estonia,1316481,Europe
Eswatini,1136000,Africa
Ethiopia,102403196,Africa
Fiji,898760,Australia
Finland,5495096,Europe
France,66896109,Europe
Gabon,1979786,Africa
Gambia,2038501,Africa
Georgia,3719300,Asia
Germany,82667685,Europe
Ghana,28206728,Africa
Greece,10746740,Europe
Guatemala,16582469,North America
Guinea,12395924,Africa
Guyana,773303,South America
Haiti,10847334,North America
Holy See,825,Europe
Honduras,9112867,North America
Hungary,9817958,Europe
Iceland,334252,Europe
India,1324171354,Asia
Indonesia,261115456,Asia
Iran,80277428,Asia
Iraq,37202572,Asia
Ireland,4773095,Europe
Israel,8547100,Asia
Italy,60600590,Europe
Jamaica,2881355,North America
Japan,126994511,Asia
Jordan,9455802,Asia
Kazakhstan,17797032,Asia
Kenya,48461567,Africa
"Korea, South",51245707,Asia
Kuwait,4052584,Asia
Kyrgyzstan,6082700,Asia
Latvia,1960424,Europe
Lebanon,6006668,Asia
Liberia,4613823,Africa
Liechtenstein,37666,Europe
Lithuania,2872298,Europe
Luxembourg,582972,Europe
Madagascar,24894551,Africa
Malaysia,31187265,Asia
Maldives,417492,Asia
Malta,436947,Europe
Mauritania,4301018,Africa
Mauritius,1263473,Africa
Mexico,127540423,North America
Moldova,3552000,Europe
Monaco,38499,Europe
Mongolia,3027398,Asia
Montenegro,622781,Europe
Morocco,35276786,Africa
Namibia,2479713,Africa
Nepal,28982771,Asia
Netherlands,17018408,Europe
New Zealand,4692700,Australia
Nicaragua,6149928,North America
Niger,20672987,Africa
Nigeria,185989640,Africa
North Macedonia,55023,North America
Norway,5232929,Europe
Oman,4424762,Asia
Pakistan,193203476,Asia
Panama,4034119,North America
Papua New Guinea,8084991,Australia
Paraguay,6725308,South America
Peru,31773839,South America
Philippines,103320222,Asia
Poland,37948016,Europe
Portugal,10324611,Europe
Qatar,2569804,Asia
Romania,19705301,Europe
Russia,144342396,Europe
Rwanda,11917508,Africa
Saint Lucia,181889,North America
Saint Vincent and the Grenadines,110210,North America
San Marino,33203,Europe
Saudi Arabia,32275687,Asia
Senegal,15411614,Africa
Serbia,7057412,Europe
Seychelles,94677,Africa
Singapore,5607283,Asia
Slovakia,5428704,Europe
Slovenia,2064845,Europe
Somalia,14317996,Africa
South Africa,55908865,Africa
Spain,46443959,Europe
Sri Lanka,21203000,Asia
Sudan,39578828,Africa
Suriname,558368,South America
Sweden,10230000,Europe
Switzerland,8570000,Europe
Taiwan*,23780000,Asia
Tanzania,55572201,Africa
Thailand,68863514,Asia
Togo,7606374,Africa
Trinidad and Tobago,1364962,North America
Tunisia,11403248,Africa
Turkey,79512426,Asia
Uganda,41487965,Africa
Ukraine,45004645,Europe
United Arab Emirates,9269612,Asia
United Kingdom,65637239,Europe
Uruguay,3444006,South America
US,323127513,North America
Uzbekistan,31848200,Asia
Venezuela,31568179,South America
Vietnam,92701100,Asia
Zambia,16591390,Africa
Zimbabwe,16150362,Africa
Dominica,71625,North America
Grenada,111454,North America
Mozambique,29500000,Africa
Syria,16910000,Asia
Timor-Leste,1268000,Aisa
Belize,383071,North America
Laos,7062000,Asia
Libya,6679000,Africa
West Bank and Gaza,459000,Asia
Guinea-Bissau,1874000,Africa
Mali,19080000,Africa
Saint Kitts and Nevis,52441,North America
Kosovo,1845000,Europe
Burma,53710000,Asia
MS Zaandam,1800,North America
Botswana,2254000,Africa
Burundi,11180000,Africa
Sierra Leone,7650000,Africa
Malawi,18140000,Africa
South Sudan,10980000,Africa
Western Sahara,652271,South America
Sao Tome and Principe,211028,Africa
Yemen,28500000,Asia
Comoros,832322,Africa
Tajikistan,9101000,Asia
Lesotho,2108000,Africa
